epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,120.975,1.84423,3.45799,1.50004,0.00846,0.32673,0.02036,0.00855,1.67387,3.466,1.4524,0.00072,0.00024,0.00072,0.00024,0.00072,0.00024,0.00072,0.00024
2,199.683,1.84303,3.37515,1.49507,0.00859,0.33168,0.02505,0.01051,1.62036,3.4609,1.45536,0.0014406,0.0004802,0.0014406,0.0004802,0.0014406,0.0004802,0.0014406,0.0004802
3,259.9,1.68062,3.33648,1.38989,0.01038,0.40099,0.02544,0.01029,1.57176,3.46241,1.42589,0.00209942,0.000699808,0.00209942,0.000699808,0.00209942,0.000699808,0.00209942,0.000699808
4,318.164,1.54836,3.19444,1.29785,0.01205,0.46535,0.04318,0.01884,1.5258,3.411,1.35669,0.00269647,0.000898824,0.00269647,0.000898824,0.00269647,0.000898824,0.00269647,0.000898824
5,390.837,1.63129,3.12108,1.37336,0.01474,0.56931,0.05523,0.02503,1.52077,3.33494,1.31429,0.00323174,0.00107725,0.00323174,0.00107725,0.00323174,0.00107725,0.00323174,0.00107725
6,458.793,1.5232,2.93335,1.26571,0.01679,0.64851,0.06777,0.03428,1.5279,3.21872,1.27342,0.00370524,0.00123508,0.00370524,0.00123508,0.00370524,0.00123508,0.00370524,0.00123508
7,544.903,1.51342,2.74624,1.2097,0.01897,0.73267,0.17262,0.09828,1.49825,2.99195,1.20872,0.00411696,0.00137232,0.00411696,0.00137232,0.00411696,0.00137232,0.00411696,0.00137232
8,600.731,1.49124,2.45526,1.20401,0.70558,0.17797,0.31458,0.18375,1.50946,2.80036,1.21055,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
9,663.226,1.40914,2.27246,1.18779,0.56202,0.37129,0.45703,0.24727,1.52721,2.26989,1.21653,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
10,714.522,1.48871,2.06363,1.2452,0.51144,0.46535,0.471,0.25524,1.53467,2.04468,1.23097,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
11,776.158,1.56674,2.10078,1.28901,0.48763,0.52475,0.51475,0.28792,1.51633,1.84665,1.21655,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
12,874.028,1.44123,1.88702,1.19551,0.56431,0.57426,0.57582,0.31126,1.53881,1.75243,1.21948,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
13,928.715,1.5522,1.8065,1.25563,0.59302,0.60891,0.60795,0.32839,1.54311,1.69482,1.2115,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
14,1033.9,1.50376,1.78484,1.23723,0.6262,0.61386,0.64902,0.35598,1.51474,1.62045,1.18241,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
15,1140.47,1.4795,1.88996,1.24025,0.6382,0.60255,0.66353,0.3768,1.49854,1.59395,1.15995,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
16,1291,1.52532,1.97142,1.23741,0.68712,0.59406,0.66865,0.37918,1.48876,1.5948,1.15415,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
17,1409.24,1.52323,1.90011,1.20319,0.65954,0.62335,0.66683,0.37713,1.49704,1.62069,1.15949,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
18,1495.37,1.5171,2.20003,1.25671,0.61827,0.65842,0.66577,0.37803,1.49295,1.6302,1.15823,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
19,1605.87,1.50507,1.78366,1.17902,0.63507,0.66832,0.66612,0.37769,1.5008,1.63361,1.15175,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
20,1715.01,1.48557,1.78669,1.1712,0.6385,0.68204,0.67321,0.37843,1.50852,1.62467,1.1543,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
21,1794.99,1.42624,1.77838,1.1254,0.63691,0.66832,0.67723,0.381,1.51304,1.60489,1.15487,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
22,1889.03,1.5405,1.90149,1.15519,0.6331,0.66832,0.6837,0.38238,1.51704,1.5884,1.16069,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
23,1989.29,1.44719,2.18848,1.16747,0.63803,0.66337,0.68934,0.3828,1.51081,1.57688,1.15552,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
